,County,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Year
4807,Alameda,-0.21,1793.52,356.58,243.29,2020
4835,Alpine,1.02,235.18,.,164.26,2020
4873,Amador,2.57,365.60,226.21,185.17,2020
4919,Butte,2.33,897.26,285.99,230.90,2020
4961,Calaveras,3.52,420.60,252.18,193.49,2020
4996,Colusa,3.72,373.07,288.80,214.30,2020
5042,Contra Costa,1.53,1277.57,288.19,213.57,2020
5084,Del Norte,8.25,502.48,275.13,231.65,2020
5130,El Dorado,2.73,951.61,263.18,205.88,2020
5176,Fresno,4.95,765.96,268.42,223.40,2020
5211,Glenn,4.29,426.39,343.07,246.35,2020
5256,Humboldt,5.43,842.35,317.66,234.25,2020
5299,Imperial,4.89,414.91,248.38,191.11,2020
5343,Inyo,2.54,624.07,265.18,203.91,2020
5389,Kern,6.10,646.09,231.55,214.07,2020
5435,Kings,5.96,747.61,252.64,207.90,2020
5478,Lake,4.34,455.66,258.35,191.66,2020
5520,Lassen,3.06,317.77,228.16,167.83,2020
5566,Los Angeles,3.00,1514.84,287.45,278.85,2020
5612,Madera,5.39,750.45,271.82,215.10,2020
5658,Marin,-2.49,1456.75,305.15,194.61,2020
5693,Mariposa,2.93,328.11,244.08,199.50,2020
5739,Mendocino,4.34,1158.39,289.72,208.46,2020
5785,Merced,4.29,889.71,246.91,202.15,2020
5813,Modoc,-1.41,217.32,.,181.72,2020
5848,Mono,7.24,526.28,336.34,214.81,2020
5894,Monterey,3.81,1344.10,294.43,197.62,2020
5940,Napa,2.03,1554.74,333.28,230.12,2020
5985,Nevada,3.10,902.96,263.72,189.64,2020
6031,Orange,2.43,1418.05,295.82,257.29,2020
6077,Placer,3.26,1030.54,251.52,207.28,2020
6120,Plumas,3.57,470.92,271.65,186.37,2020
6166,Riverside,4.98,974.36,245.16,233.64,2020
6212,Sacramento,5.09,1044.40,255.61,230.58,2020
6256,San Benito,2.83,903.26,262.07,176.51,2020
6302,San Bernardino,4.55,1065.58,255.49,251.15,2020
6348,San Diego,3.88,1305.71,308.14,240.63,2020
6394,San Francisco,-7.74,2090.73,379.00,255.18,2020
6440,San Joaquin,4.03,909.09,241.45,202.31,2020
6486,San Luis Obispo,2.12,1466.74,273.57,229.48,2020
6532,San Mateo,-6.08,1909.63,356.71,233.46,2020
6578,Santa Barbara,2.07,1451.28,266.31,208.27,2020
6624,Santa Clara,-4.12,1968.61,355.59,212.79,2020
6670,Santa Cruz,-0.68,1668.58,313.18,198.79,2020
6715,Shasta,4.68,620.39,253.13,214.40,2020
6738,Sierra,-0.35,213.47,.,158.38,2020
6780,Siskiyou,2.82,347.16,261.64,185.88,2020
6826,Solano,3.18,1324.95,269.87,208.46,2020
6872,Sonoma,1.10,1507.03,309.38,209.32,2020
6918,Stanislaus,5.75,975.07,239.30,219.42,2020
6964,Sutter,6.19,821.56,270.75,236.14,2020
7006,Tehama,4.14,441.20,296.32,213.48,2020
7025,Trinity,5.51,182.47,.,.,2020
7071,Tulare,5.89,709.73,244.75,207.78,2020
7115,Tuolumne,2.25,597.49,232.02,191.42,2020
7161,Ventura,2.77,1428.09,258.48,229.31,2020
7206,Yolo,2.17,1170.67,284.10,234.32,2020
7248,Yuba,6.17,513.10,290.06,239.18,2020
