,County,2020 (Dollars),2020 (Rank in state),2020(Percent change)
0,Alameda,"87,078",6,10.5
1,Alpine,"76,175",8,-4.4
2,Amador,"47,721",44,8.5
3,Butte,"50,279",37,11.3
4,Calaveras,"53,026",31,9.4
5,Colusa,"57,382",27,28.5
6,Contra Costa,"92,264",5,9.0
7,Del Norte,"40,192",58,11.4
8,El Dorado,"72,662",11,6.7
9,Fresno,"48,495",43,12.7
10,Glenn,"52,219",33,20.7
11,Humboldt,"50,182",38,8.9
12,Imperial,"44,500",53,19.6
13,Inyo,"64,335",19,6.8
14,Kern,"44,721",51,13.0
15,Kings,"41,829",56,14.8
16,Lake,"47,144",45,11.9
17,Lassen,"40,490",57,13.8
18,Los Angeles,"68,272",14,8.3
19,Madera,"44,532",52,14.9
20,Marin,"145,575",1,4.8
21,Mariposa,"57,828",26,7.4
22,Mendocino,"54,795",29,10.0
23,Merced,"43,914",54,15.7
24,Modoc,"52,779",32,16.3
25,Mono,"54,586",30,10.6
26,Monterey,"61,510",21,8.8
27,Napa,"82,408",7,11.5
28,Nevada,"64,876",18,6.9
29,Orange,"74,618",10,6.7
30,Placer,"72,279",12,6.9
31,Plumas,"55,029",28,7.8
32,Riverside,"45,834",49,10.8
33,Sacramento,"58,307",25,9.4
34,San Benito,"60,807",22,15.2
35,San Bernardino,"44,831",50,10.6
36,San Diego,"66,266",17,8.9
37,San Francisco,"144,818",2,8.2
38,San Joaquin,"51,816",34,15.0
39,San Luis Obispo,"62,342",20,6.2
40,San Mateo,"141,841",3,7.3
41,Santa Barbara,"67,879",15,8.2
42,Santa Clara,"123,661",4,7.9
43,Santa Cruz,"75,957",9,10.1
44,Shasta,"51,649",35,11.3
45,Sierra,"49,139",41,8.2
46,Siskiyou,"49,664",40,12.5
47,Solano,"58,688",23,13.1
48,Sonoma,"71,386",13,10.0
49,Stanislaus,"48,954",42,12.8
50,Sutter,"50,730",36,12.6
51,Tehama,"46,007",48,12.8
52,Trinity,"43,877",55,9.8
53,Tulare,"46,348",47,15.8
54,Tuolumne,"49,708",39,7.7
55,Ventura,"67,422",16,6.7
56,Yolo,"58,391",24,7.3
57,Yuba,"46,373",46,12.1
