,State,County,Area_name,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020
195,CA,Alameda,"Alameda County, CA","813,807","742,411","71,396",8.8
196,CA,Alpine,"Alpine County, CA",517,459,58,11.2
197,CA,Amador,"Amador County, CA","14,424","13,107","1,317",9.1
198,CA,Butte,"Butte County, CA","92,604","84,095","8,509",9.2
199,CA,Calaveras,"Calaveras County, CA","21,207","19,588","1,619",7.6
200,CA,Colusa,"Colusa County, CA","10,499","8,824","1,675",16.0
201,CA,Contra Costa,"Contra Costa County, CA","541,256","493,236","48,020",8.9
202,CA,Del Norte,"Del Norte County, CA","9,350","8,466",884,9.5
203,CA,El Dorado,"El Dorado County, CA","90,752","83,262","7,490",8.3
204,CA,Fresno,"Fresno County, CA","445,518","395,258","50,260",11.3
205,CA,Glenn,"Glenn County, CA","12,568","11,455","1,113",8.9
206,CA,Humboldt,"Humboldt County, CA","59,411","54,446","4,965",8.4
207,CA,Imperial,"Imperial County, CA","69,602","53,949","15,653",22.5
208,CA,Inyo,"Inyo County, CA","8,305","7,658",647,7.8
209,CA,Kern,"Kern County, CA","383,769","335,707","48,062",12.5
210,CA,Kings,"Kings County, CA","56,416","49,883","6,533",11.6
211,CA,Lake,"Lake County, CA","28,267","25,567","2,700",9.6
212,CA,Lassen,"Lassen County, CA","9,461","8,785",676,7.1
213,CA,Los Angeles,"Los Angeles County, CA","4,921,499","4,291,688","629,811",12.8
214,CA,Madera,"Madera County, CA","61,738","55,089","6,649",10.8
215,CA,Marin,"Marin County, CA","130,138","121,476","8,662",6.7
216,CA,Mariposa,"Mariposa County, CA","7,162","6,381",781,10.9
217,CA,Mendocino,"Mendocino County, CA","37,015","33,723","3,292",8.9
218,CA,Merced,"Merced County, CA","114,736","100,755","13,981",12.2
219,CA,Modoc,"Modoc County, CA","3,170","2,900",270,8.5
220,CA,Mono,"Mono County, CA","7,846","6,917",929,11.8
221,CA,Monterey,"Monterey County, CA","213,471","190,389","23,082",10.8
222,CA,Napa,"Napa County, CA","68,867","62,853","6,014",8.7
223,CA,Nevada,"Nevada County, CA","46,489","42,787","3,702",8.0
224,CA,Orange,"Orange County, CA","1,553,301","1,416,738","136,563",8.8
225,CA,Placer,"Placer County, CA","184,892","171,319","13,573",7.3
226,CA,Plumas,"Plumas County, CA","7,559","6,753",806,10.7
227,CA,Riverside,"Riverside County, CA","1,107,723","997,725","109,998",9.9
228,CA,Sacramento,"Sacramento County, CA","707,182","641,624","65,558",9.3
229,CA,San Benito,"San Benito County, CA","31,528","28,409","3,119",9.9
230,CA,San Bernardino,"San Bernardino County, CA","966,206","874,911","91,295",9.4
231,CA,San Diego,"San Diego County, CA","1,538,361","1,396,547","141,814",9.2
232,CA,San Francisco Coun,"San Francisco County/city, CA","556,056","512,531","43,525",7.8
233,CA,San Joaquin,"San Joaquin County, CA","331,828","294,454","37,374",11.3
234,CA,San Luis Obispo,"San Luis Obispo County, CA","132,690","122,495","10,195",7.7
235,CA,San Mateo,"San Mateo County, CA","433,876","404,128","29,748",6.9
236,CA,Santa Barbara,"Santa Barbara County, CA","217,510","200,175","17,335",8.0
237,CA,Santa Clara,"Santa Clara County, CA","1,020,693","949,353","71,340",7.0
238,CA,Santa Cruz,"Santa Cruz County, CA","133,646","120,932","12,714",9.5
239,CA,Shasta,"Shasta County, CA","72,827","66,484","6,343",8.7
240,CA,Sierra,"Sierra County, CA","1,282","1,179",103,8.0
241,CA,Siskiyou,"Siskiyou County, CA","16,923","15,286","1,637",9.7
242,CA,Solano,"Solano County, CA","202,812","183,607","19,205",9.5
243,CA,Sonoma,"Sonoma County, CA","245,091","225,791","19,300",7.9
244,CA,Stanislaus,"Stanislaus County, CA","240,641","214,885","25,756",10.7
245,CA,Sutter,"Sutter County, CA","45,467","40,472","4,995",11.0
246,CA,Tehama,"Tehama County, CA","25,579","23,317","2,262",8.8
247,CA,Trinity,"Trinity County, CA","4,515","4,155",360,8.0
248,CA,Tulare,"Tulare County, CA","199,151","172,852","26,299",13.2
249,CA,Tuolumne,"Tuolumne County, CA","20,038","17,954","2,084",10.4
250,CA,Ventura,"Ventura County, CA","408,867","373,903","34,964",8.6
251,CA,Yolo,"Yolo County, CA","105,026","97,111","7,915",7.5
252,CA,Yuba,"Yuba County, CA","30,042","26,879","3,163",10.5
